ID,Treatment,Parturition_Date,Parturition_Type,Larvae_Survivorship,Larvae_Survivorship_Scale,Larvae_Maturity,Larvae_Maturity_Scale,Larvae_Density,Larvae_Density_Scale,Parturition_Score,Brood_Condition,Processed_For,Processing_Date,Injuries_To Mother,Sample_Issues,Bin_Notes,Fecundity_Or_Brood_Count,m_l,m_w,g_w,l_w,Sample_Usable?,Mixed_Eggs_and_Larvae_Parturition
9780C,Pre-fertilization,4/11/24-4/15/24,Partial Parturition,?,?,?,?,?,?,?,?,Found dead in tank,4/19/2024,Yes,"Unknown mortality, but found fresh, 'Likely had only been dead for an hour' and samples still taken. Partial parturitions occurred but no info about conditions. ",No info on partial parturitions,NA,NA,NA,NA,NA,No,All Larvae
777A0,Pregnancy Subset,04/18/2024,?,?,?,?,?,?,?,?,?,Unknown,5/17/2024,No,"In ocean throughout much of duration of gestation, so no samples taken.",No info about parturition,NA,NA,NA,NA,NA,Ask,All Larvae
9782F,Pregnancy Subset,4/19/24,?,?,?,?,?,?,?,?,?,Unknown,5/17/2024,Yes,"In ocean throughout much of duration of gestation, so no samples taken.",No info about parturition,NA,NA,NA,NA,NA,Ask,All Larvae
777AE,Gestational,4/20/2024,Full Parturition,Most alive,7,Premature 8-10 days,0,Low,0,7,Poor,Found dead in tank,4/24/2024,No,Found dead in tank. Sample taken after death,Notes say 'Full parturition with low density. Most larvae alive and swimming. Larvae 8-10 days premature.',97253.29054,265,378.4,6.12,4.04,No,All Larvae
777DF,Ambient,4/23/2024,Full Parturition,Most alive,7,Premature 8-10 days,0,Low,0,7,Poor,Post-Parturition,5/17/2024,No,,"No notes on larvae survival, except 'swimming larvae'. Information included says 'Full parturition? with low density. Low density of swimming larvae. Larvae 7-9 days premature.'",48264,278,422.6,4.3,7.06,Yes,All Larvae
777F3,Ambient ,4/25/24,Full Parturition?,All live,10,Premature 0-4 days,5,High,5,20,Excellent,Post-Parturition,5/17/2024,No,,No info about parturition,63586.47357,225,311.9,1.38,5.56,Yes,All Larvae
777B3,Pre-fertilization,4/26/2024,?,?,?,?,?,?,?,?,?,Post-Parturition,5/21/2024,Yes,,No info about parturition,NA,NA,NA,NA,NA,Yes,NA
777AA,Ambient,4/26/2024,?,?,?,?,?,?,?,?,?,Post-Parturition,5/21/2024,No,,No info about parturition,NA,NA,NA,NA,NA,Yes,NA
777DE,Pregnancy Subset,4/27/24,?,?,?,?,?,?,?,?,?,Post-Parturition,5/17/2024,Yes,No samples taken,No info about parturition,NA,NA,NA,NA,NA,Ask,NA
777E8,Ambient,5/2/24,Unsure,All live,10,Premature 0-4 days,5,High,5,20,Excellent,Post-Parturition,5/21/2024,Yes,,"No info about parturition, except 'buckets set up to grow out with only 1000 each' and 'Spurted some more live larve on the following two days (maybe 100ish?)'",51746,248,321.3,3.46,4.43,Yes,All Larvae
777BB,Ambient,5/5/24,Full Parturition?,All live,10,Premature 0-4 days,5,High,5,20,Excellent,Post-Parturition,5/21/2024,No,,No info about parturition,106572.7294,255,299.6,4.43,3.18,Yes,All Larvae
777CA,Pre-fertilization,5/6/24,?,?,?,?,?,?,?,?,?,Found dead in tank,5/12/2024,No,Found dead in tank,"No parturition info, except in mortalities data sheet 'Parturition on 5/6 was good'.",81896.27761,290,494.7,18.51,11.18,No,All Larvae
977FE,Ambient,5/7/24,Full Parturition?,All live,10,Premature 0-4 days,5,Medium,3,18,Excellent,Post-Parturition,5/21/2024,No,,No info about parturition,2206,266,354.9,6.22,6.22,Yes,All Larvae
777CE,Pre-fertilization,5/7/24,?,?,?,?,?,?,?,?,?,Post-Parturition,5/21/2024,No,,No info about parturition,NA,NA,NA,NA,NA,Yes,NA
777BA,Pre-fertilization,5/10/24,Full Parturition?,All live,10,Premature 0-4 days,5,High,5,20,Excellent,Post-Parturition,5/21/2024,No,,No info about parturition,46895,258,317.8,4.56,4.3,Yes,All Larvae
777A6,Ambient,"5/7/24, 5/11/24",Partial Parturition,?,?,?,?,?,?,?,?,Post-Parturition,5/21/2024,No,,No info about parturition,NA,NA,NA,NA,NA,Yes,NA
77795,Pre-fertilization,5/15/24,Full Parturition?,All live,10,Premature 0-4 days,5,High,5,20,Excellent,Post-Parturition,NA,Yes,,No info about parturition,56472,260,312.5,1.89,3.38,Yes,All Larvae
777A5,Ambient,5/15/24,Full Parturition?,All live,10,Premature 0-4 days,5,High,5,20,Excellent,Post-Parturition,NA,No,,No info about parturition,70995,254,293.5,2.74,2.9,Yes,All Larvae
977F2,Pre-fertilization,5/17/24,Full Parturition?,All live,10,Premature 0-4 days,5,High,5,20,Excellent,Post-Parturition,NA,No,,No info about parturition,64214.40599,248,288.7,1.71,3.96,Yes,All Larvae
777D3,Gestational,5/17/24,NA,NA,NA,NA,NA,Low,0,NA,NA,NA,5/17/2024?,Yes,"Found dying morning of 5/17. OAH tank pH problem, change in behavior after pH anomaly on 5/10.","No parturition info, except 'very small amount, spurts of larvae while dying'",478,262,336.2,1.95,4.74,Ask,All Larvae
777E2,Ambient,5/18/24,Full Parturition?,All live,10,Premature 0-4 days,5,High,5,20,Excellent,Post-Parturition,NA,No,,No info about parturition,22343,253,287.7,1.3,3.24,Yes,All Larvae
977F5,Pre-fertilization,5/18/2024,Full Parturition,All live,10,Premature 0-4 days,5,High,5,20,Excellent,Post-Parturition,NA,Yes,Tag injury,"No parturition info, except 'spurt on 5/17, full on 5/18'.",121990.7137,274,361.3,7.68,4.2,Yes,All Larvae
777AF,Gestational,5/23/24,Full Parturition?,All live,10,Premature 0-4 days,5,Medium,3,18,Excellent,Post-Parturition,NA,Yes,Dropped 4/8,"No parturition info, except 'Small spurt; not enough for buckets'",6249,240,242.4,2.96,1.92,Yes,All Larvae
777B0,Ambient,06/09/24,?,?,?,?,?,?,?,?,?,Post-Parturition,6/20/2024,No,,No info about parturition,25649,242,274.1,1,3.07,Yes,All Larvae
