ID,Treatment_parturition_spreadsheet_on_2024_Fish_Metadata.xlsx,Treatment_fecund_spreadsheet_on_2023_2024_lab_fecun.csv,Concensus_General_Treatment,Concencus_Atresia_Or_Pregnant,Date_Of_Processing,Tank_Of_Processing,Last_Known_Treatment_on_2024_Atresiafish_Guide2.csv,Ambient_Or_OAH_on_2024_Atresiafish_Guide2.csv,Pregnant_Or_Atresia_on_2024_Atresiafish_Guide2.csv,Pregnancy_Goodness_on_2024_Atresiafish_Guide2.csv,Parturition_Date,Parturition_Type,Larvae_Survivorship,Larvae_Survivorship_Scale,Larvae_Maturity,Larvae_Maturity_Scale,Larvae_Density,Larvae_Density_Scale,Parturition_Score,Brood_Condition,Processed_For,Processed_As,Going_To_Go,Processing_Date,Injuries_To Mother,Sample_Issues,Cath_Notes,Cath_Notes_Drive_Data_Link,Bin_Notes,Fecundity_Or_Brood_Count,m_l,m_w,g_w,l_w,Sample_Usable?,Mixed_Eggs_and_Larvae_Parturition,Consensus_Mixed_Eggs_Larvae_Parturition_Sort,Consensus_Fecundity,Length_mm_at_intake,Weight_g_at_intake,Ovary_Size_Via_Ultrasound_on_2024_Fish_Metadata.xlsx,Ovary_Size_Drive_Link,Weight_Adjusted_Fecundity_Fecundity/Mean_Weight,Parturition_Score_By_Weight_Adjusted_Fecundity,Brood_Condition_By_Weight_Adjusted_Fecundity
9780C,Pre-fertilization,NA,Ambient,Post Parturition,4/19/2024,G3,Pre-fertilization,Ambient,Post-Partuition,Small Spurts,4/11/24-4/15/24,Partial Parturition?,NA,NA,NA,NA,NA,NA,NA,NA,Found dead in tank,,,4/19/2024,Yes,"Found dead in tank. Notes say 'caudal fin damage 1/26', and 'Found dead in tank at 1pm on 4/19. Likely had only been dead for an hour. Dailyn finished processing the fish and all tissue samples by 2:09pm'.","1x cath 2/7 stage 2.3, 1x cath 3/4 stage 2+?, cath 3/12 stage 2.35, cath 3/18 1 2 3 stage 2.5, 1x cath 3/27 stage 3 early fert, 2x cath 4/8 stage 2.45?, 1x cath 4/15 stage 5 pic1 pic2","1x cath 2/7 stage 2.3, 1x cath 3/4 stage 2+?, cath 3/12 stage 2.35, cath 3/18 1 2 3 stage 2.5, 1x cath 3/27 stage 3 early fert, 2x cath 4/8 stage 2.45?, 1x cath 4/15 stage 5 pic1 pic2",No info on partial parturitions,NA,NA,NA,NA,NA,No,No record,Mother died,NA,310,576.7,large but empty/fluid filled looking,"2/7, 2/12, 3/4, 3/12, 3/18, 3/27, 4/15",#VALUE!,,
777A0,Pregnancy Subset,NA,NA,NA,NA,NA,NA,NA,NA,NA,04/18/2024,No record,unk,unk,unk,unk,unk,unk,unk,unk,"Notes say 'Processed on 5/17', date of processing & parturition",,Post,5/17/2024,No,Notes say 'No samples/data taken because she was in the ocean for the majority of her gestation so only useful for Dylan's subset'.,1x cath 4/10 stage 4 close to parturition,1x cath 4/10 stage 4 close to parturition,No info about parturition. Notes say 'No samples/data taken because she was in the ocean for the majority of her gestation so only useful for Dylan's subset',NA,NA,NA,NA,NA,Maybe,No record,"Larvae dead + alive, but very low brood",Very Low (~100s),279,475.8,enormus,4/8,#VALUE!,,
9782F,Pregnancy Subset,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/19/24,No record,unk,unk,unk,unk,unk,unk,unk,unk,"Notes say 'Processed on 5/17', date of processing & parturition",,Post,5/17/2024,Yes,"Notes say 'caudal damage 4/8, caudal damage from bullying 5/11'",eyed larvae spewed early 4/8 stage 4,eyed larvae spewed early 4/8 stage 4,"No info about parturition. Notes say 'eyed larvae spewed early 4/8 stage 4', and 'No samples/data taken because she was in the ocean for the majority of her gestation so only useful for Dylan's subset'",NA,NA,NA,NA,NA,Maybe,"Larvae present, early release","Larvae dead + alive, but very low brood",Very Low (~100s),288,545,,,#VALUE!,,
777AE,Gestational,G,OAH,Post Parturition,NA,NA,NA,NA,NA,NA,4/20/2024,Full Parturition,Most alive,7,Premature 8-10 days,0,Low,0,7,Poor,Found dead in tank,,,4/24/2024,No,"Found dead in tank. Sample taken after death. Notes say 'Found dead at the bottom of the tank on 4/24 with mouth agape. Processed by DJ and finished collecting samples at 9:43am; no idea on how long she was dead previously, but she was almost completely rigormortus. No indication as to why she died.'","1x cath 3/24 stage 2.35, 1x cath 4/8 late stage 3 larvae","1x cath 3/24 stage 2.35, 1x cath 4/8 late stage 3 larvae","Notes say 'Full parturition with low density. Most larvae alive and swimming. Larvae 8-10 days premature. Larval photos, heart videos, tubes, plate, otolith/ionocytes all taken and grow out buckets counted out.'",97253.29054,265,378.4,6.12,4.04,No,Larvae alive + dead,"Larvae dead + alive, Mother died","High (~100,000+)",264,393.6,large,"3/24, 4/8",257.0118672,,
777DF,Ambient,A,Ambient,Post Parturition,5/17/2024,A1,Ambient,Ambient,Post-Partuition,Full; Premature,4/23/2024,Full Parturition?,No info,,Premature 8-10 days,0,Low,0,,How to handle?,"Notes say 'Processed on 5/17', Fecund info + date of processing & parturition",NA,Post,5/17/2024,No,,1x cath 4/15 late stage 3/early stage 4,1x cath 4/15 late stage 3/early stage 4,"No notes on larvae survival. Notes say 'Full parturition? with low density. Low density of swimming larvae. Larvae 7-9 days premature. Larval photos, heart videos, tubes, plate, otolith/ionocytes all taken and grow out buckets counted out.'",48264,278,422.6,4.3,7.06,Yes,Larvae present,Larvae dead + alive,Low-Normal,279,466.6,very large,4/15,114.2072882,,
777F3,Ambient ,A,Ambient,Post Parturition,5/17/2024,G3,Ambient,Ambient,Post-Partuition,Full,4/25/24,No record,No info,,No info,,Medium,3,,How to handle?,"Notes say 'Processed on 5/17', Fecund info + date of processing & parturition",,Post,5/17/2024,No,,1x cath 4/8 stage 3 otoliths,1x cath 4/8 stage 3 otoliths,No info about parturition,63586.47357,225,311.9,1.38,5.56,Yes,Larvae present,Larvae dead + alive,"Normal (50,000-100,000)",245,340.6,large,4/8,203.8681423,,
777B3,Pre-fertilization,NA,Ambient,Post Parturition,5/21/2024,P5,Pre-fertilization,Ambient,Post-Partuition,Partial;Premature,4/26/2024,No record,unk,unk,unk,unk,unk,unk,unk,unk,"Notes say 'Processed on 5/21', date of processing & parturition ",,Post,5/21/2024,Yes,Notes say 'caudal damage 3/24',"1x cath 3/24 stage 2.35, 1x cath 4/8 stage 3 early cell division","1x cath 3/24 stage 2.35, 1x cath 4/8 stage 3 early cell division",No info about parturition,NA,NA,NA,NA,NA,Maybe,No record,"Larvae dead + alive, but very low brood",Very Low (~100s),260,289,very large,"3/24, 4/8",#VALUE!,,
777AA,Ambient,NA,Ambient,Post Parturition,5/21/2024,P5,Ambient,Ambient,Post-Partuition,Partial;Premature,4/26/2024,No record,unk,unk,unk,unk,unk,unk,unk,unk,"Notes say 'Processed on 5/21', date of processing & parturition ",,Maybe,5/21/2024,No,,1x cath 4/15 stage 3 early preoto,1x cath 4/15 stage 3 early preoto,"No info about parturition, except 'visually plump 4/15'",NA,NA,NA,NA,NA,Maybe,No record,"Larvae dead + alive, but very low brood",Very Low (~100s),261,375.9,very large,4/15,#VALUE!,,
777DE,Pregnancy Subset,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/27/24,No record,all/most live,unk,unk,unk,unk,unk,unk,unk,"Notes say 'Processed on 5/17', date of processing & parturition",,Post,5/17/2024,Yes,"Notes say 'split caudal, visually very large & actively releasing eyed larvae in bucket, cloudy right eye 4/15, cloudy right eye 4/20' ","1x cath 4/15 stage 4 early eyed larvae, 1x cath 4/24 stage 4 close to parturition","1x cath 4/15 stage 4 early eyed larvae, 1x cath 4/24 stage 4 close to parturition","No info about parturition, except 'Spurted live babies on 4/26/24 No samples/data taken also no metrics taken by Dylan because she gave birth before any resp could be done' and 'split caudal, visually very large & actively releasing eyed larvae in bucket, cloudy right eye 4/15, cloudy right eye 4/20'",NA,NA,NA,NA,NA,Maybe,Larvae present,"Larvae dead + alive, but very low brood",Very Low (~100s),270,446.9,very large,4/15,#VALUE!,,
777E8,Ambient,A,Ambient,Post Parturition,5/21/2024,P5,Ambient,Ambient,Post-Partuition,Low density,5/2/24,Partial Parturition?,No info,,No info,,Medium,3,,How to handle?,"Notes say 'Processed on 5/21', Fecund info + date of processing & parturition",,Post,5/21/2024,Yes,Notes say 'color loss 4/24',1x cath 4/15 stage 3 early preoto,1x cath 4/15 stage 3 early preoto,"No info about parturition, except 'buckets set up to grow out with only 1000 each' and 'Spurted some more live larve on the following two days (maybe 100ish?)'",51746,248,321.3,3.46,4.43,Yes,Larvae present,Larvae dead + alive,"Normal (50,000-100,000)",240,314.4,,,161.0519763,,
777BB,Ambient,A,Ambient,Post Parturition,5/21/2024,P5,Ambient,Ambient,Post-Partuition,Full,5/5/24,No record,No info,,No info,,High,5,,How to handle?,"Notes say 'Processed on 5/21', Fecund info + date of processing & parturition",,Post,5/21/2024,No,,1x cath 4/15 stage 3 early preoto,1x cath 4/15 stage 3 early preoto,No info about parturition,106572.7294,255,299.6,4.43,3.18,Usable,Larvae present,Larvae dead + alive,"High (~100,000+)",254,338,large,4/15,355.7167203,,
777CA,Pre-fertilization,P,Ambient,Post Parturition,NA,NA,NA,NA,NA,NA,5/6/24,No record,NA,NA,NA,NA,mod/high,NA,NA,NA,Found dead in tank,,Post,5/12/2024,No,"Found dead in tank. Notes say 'died overnight, 5/12/24', 'Found dead in tank upon arrival', and 'Found dead in G2, no apparent cause of death, dissected for samples even though time of death unknown, parturition on 5/6 was good'.","1x cath 3/24 stage 2.35, 1x cath 4/8 stage 3 early cell division","1x cath 3/24 stage 2.35, 1x cath 4/8 stage 3 early cell division","No parturition info, except in mortalities data sheet 'Found dead in G2, no apparent cause of death, dissected for samples even though time of death unknown, parturition on 5/6 was good'. Notes say 'died overnight, 5/12/24' and 'Found dead in tank upon arrival'.",81896.27761,290,494.7,18.51,11.18,No,Larvae present,"Larvae dead + alive, Mother died","Normal (50,000-100,000)",284,510.9,enormus,"3/24, 4/8",165.5473572,,
977FE,Ambient,A,Ambient,Post Parturition,,G4,Ambient,Ambient,Post-Partuition,Spurt,5/7/24,No record,No info,,No info,,Low,0,,How to handle?,"Notes say 'Processed on 5/21', Fecund info + date of processing & parturition ",,Maybe,5/21/2024,No,,"1x cath 4/8 stage 2.4?, 1x cath 4/24 stage 3 1-2 days past otolith stage","1x cath 4/8 stage 2.4?, 1x cath 4/24 stage 3 1-2 days past otolith stage",No info about parturition,2206,266,354.9,6.22,6.22,Usable,Larvae present,Larvae dead + alive,"Low (~1,000s)",258,387.4,large,4/8,6.215835447,,
777CE,Pre-fertilization,NA,Ambient,Post Parturition,5/21/2024,A4,Pre-fertilization,Ambient,Post-Partuition,Spurt,5/7/24,No record,unk,unk,unk,unk,unk,unk,unk,unk,"Notes say 'Processed on 5/21', date of processing & parturition ",,Post,5/21/2024,No,,"1x cath 3/24 stage 2.35, 1x cath 4/8 stage 3 early cell division, 2x cath 5/1 stage 4/5?","1x cath 3/24 stage 2.35, 1x cath 4/8 stage 3 early cell division, 2x cath 5/1 stage 4/5?",No info about parturition,NA,NA,NA,NA,NA,Maybe,No record,"Larvae dead + alive, but very low brood",Very Low (~100s),259,362.4,large,"3/24, 4/8, 5/1",#VALUE!,,
777BA,Pre-fertilization,P,Ambient,Post Parturition,5/21/2024,A4,Pre-fertilization,Ambient,Post-Partuition,Full,5/10/24,No record,No info,,No info,,low/mod,,,How to handle?,"Notes say 'Processed on 5/21', Fecund info + date of processing & parturition",,Post,5/21/2024,No,,"1x cath 4/8 stage 2.35-2.4?, 1x cath 4/24 stage 3 1-2 days past otolith stage","1x cath 4/8 stage 2.35-2.4?, 1x cath 4/24 stage 3 1-2 days past otolith stage",No info about parturition,46895,258,317.8,4.56,4.3,Usable,Larvae present,Larvae dead + alive,Low-Normal,250,348.3,largeish,"4/8, 4/24",147.5613593,,
777A6,Ambient,NA,Ambient,Post Parturition,5/21/2024,A4,Ambient,Ambient,Post-Partuition,Partial,"5/7/24, 5/11/24",Partial Parturition?,unk,unk,unk,unk,unk,unk,unk,unk,"Notes say 'Processed on 5/21', date of processing & parturition ",,Maybe,5/21/2024,No,,"1x cath 4/8 stage 2.45?, 1x cath 4/24 stage 4","1x cath 4/8 stage 2.45?, 1x cath 4/24 stage 4",No info about parturition,NA,NA,NA,NA,NA,Maybe,No record,"Larvae dead + alive, but very low brood",Very Low (~100s),231,269.9,small/medium,"4/8, 4/24",#VALUE!,,
77795,Pre-fertilization,P,Ambient,Post Parturition,,P4,Pre-fertilization,Ambient,Post-Partuition,Full; Premature,5/15/24,No record,No info,,No info,,Medium,3,,How to handle?,Fecund info and date of parturition (no processing date),,No,NA,Yes,Notes say 'slight color loss and caudal split 4/8',"1x cath 4/8 stage 2.35?, 1x cath 4/24 stage 3 1-2 days past otolith stage","1x cath 4/8 stage 2.35?, 1x cath 4/24 stage 3 1-2 days past otolith stage",No info about parturition,56472,260,312.5,1.89,3.38,Usable,Larvae present,Larvae dead + alive,"Normal (50,000-100,000)",247,395.5,largeish,"4/8, 4/24",180.7104,,
777A5,Ambient,A,Ambient,Post Parturition,,A2,Ambient,Ambient,Post-Partuition,Full; Premature,5/15/24,No record,No info,,No info,,Medium,3,,How to handle?,Fecund info and date of parturition (no processing date),,No,NA,No,,"1x cath 4/15 stage 2.35, 1x cath 5/1 stage 3 1-2 days past potolith stage","1x cath 4/15 stage 2.35, 1x cath 5/1 stage 3 1-2 days past potolith stage",No info about parturition,70995,254,293.5,2.74,2.9,Usable,Larvae present,Larvae dead + alive,"Normal (50,000-100,000)",247,318.6,large,"4/15, 5/1",241.890971,,
977F2,Pre-fertilization,P,Ambient,Post Parturition,,G4,Pre-fertilization,Ambient,Post-Partuition,Full,5/17/24,No record,No info,,No info,,Medium,3,,How to handle?,Fecund info and date of parturition (no processing date),,No,NA,No,,"1x cath 4/8 stage 2.35-2.4?, 1x cath 4/24 stage 3 3-4 days past otolith stage?","1x cath 4/8 stage 2.35-2.4?, 1x cath 4/24 stage 3 3-4 days past otolith stage?",No info about parturition,64214.40599,248,288.7,1.71,3.96,Usable,Larvae present,Larvae dead + alive,"Normal (50,000-100,000)",239,321.4,large,"4/8, 4/24",222.4260685,,
777D3,Gestational,G,OAH,Post Parturition,,P2,Gestational,OAH,Post-Partuition,Spurt,5/17/24,NA,NA,NA,NA,NA,Low,0,NA,NA,NA,,Maybe,5/17/2024?,Yes,"Found dying morning of 5/17. OAH tank pH problem, change in behavior after pH anomaly on 5/10. Notes say 'swim behavior change after anomally on 5/10', 'very small amount, spurts of larvae while dying' and 'found dying the morning of 5/17/24'","1x cath 3/24 stage 2.35, 1x cath 4/8 stage 2.35, 1x cath 4/24 stage 3 preotolith","1x cath 3/24 stage 2.35, 1x cath 4/8 stage 2.35, 1x cath 4/24 stage 3 preotolith","No parturition info, except 'very small amount, spurts of larvae while dying', and 'found dying the morning of 5/17/24'",478,262,336.2,1.95,4.74,No,Larvae present,"Larvae dead + alive, Mother died",Very Low (~100s),258,367.5,very large,"3/24, 4/8, 4/24",1.421772754,,
